study_id,zotero_key,title,authors,year,match_type,has_pdf,pdf_attachment_key,item_type
121326421,ZU69HSZE,Men Can Cook: Effectiveness of a Men's Engagement Intervention to Change Attitud,", ",2025,extra_field,Yes,BBDQKX2R,journalArticle
121328167,AJE537GT,Why Do People Stay Poor?,,2022,extra_field,Yes,DHSXR8GT,journalArticle
121058369,ZBAE7IPZ,Social Protection Amidst Social Upheaval: Examining the Impact of a Multi-Facete,", ",2020,extra_field,Yes,JJUZWAIP,journalArticle
121327988,36VWQDDT,Poverty Graduation Programs: Psychological Implications and Sources of Heterogen,", ",2021,extra_field,Yes,69KN9HWJ,thesis
121295845,VNFUPZUT,Impact Evaluation Of The DFID Programme To Accelerate Improved Nutrition For The,", ",2016,extra_field,Yes,T954H9B3,report
121498927,9GFACIEB,THE ULTRA-POOR GRADUATION PROGRAMME: ENDLINE REPORT,", ",2020,extra_field,Yes,UHEIXUNP,webpage
121498871,DKAEEI7F,Pathways out of ultra-poverty: A mixed methods assessment of layered interventio,,,extra_field,Yes,942C4GTU,film
121499003,6VS7PHPH,Impacts and Spillovers of a Low-Cost Multifaceted Economic Inclusion Program in ,", ",2025,extra_field,Yes,RIJSF5PV,report
121475285,HN4HE5AF,Valuing Assets Provided to Low-Income Households in South Sudan,", ",,extra_field,Yes,A5HQRDNW,journalArticle
122182718,MHJ447MA,Asset transfer and child labor: Evidence from a field experiment in Bangladesh,", ",2017,extra_field,Yes,QJPFHJDM,conferencePaper
122182717,W7QIMD25,Asset Transfer Programme for the Ultra Poor: A Randomized Control Trial Evaluati,", ",2011,extra_field,Yes,GJSREH3C,report
122182716,TSGTVT7T,Does a Grant-based Approach Work for Addressing Extreme Poverty? A RCT Approach,", ",2010,extra_field,Yes,EJX5FE2T,report
122182715,UA8N4A6V,Group versus Individual Coaching for Rural Social Protection Programs: Evidence ,", ",2025,extra_field,Yes,5VJ88FSD,report
122182714,FNPJZIEE,How Sustainable is the Gain in Food Consumption of the CFPR/TUP Beneficiaries?,", ",2007,extra_field,Yes,GXWEN4VV,report
122182713,CG73D75P,Impact Evaluation of the Graduation of the Ultra-Poor Pilot in the Philippines. ,,2022,extra_field,Yes,E5RVU57V,report
122182712,5AG7U58Q,Improving livelihood using livestock: Impact evaluation of â€˜targeting ultra-poor,", ",2013,extra_field,Yes,F8NCP85J,report
122182711,HWR58RZK,Combinando proteccion social con generacion de oportunidades economicas. Una eva,,2016,extra_field,Yes,X7IRDZG2,book
121295095,EPPZJVA8,Tackling Psychosocial and Capital Constraints to Alleviate Poverty,", ",2022,extra_field,Yes,MNZ8XWBD,journalArticle
121498842,XWDVG8KS,Sembrando Oportunidades Familia por Familia (SOF),,,extra_field,Yes,AT4PAKVJ,webpage
